리뷰,성별,키,몸무게,사이즈,밝기,색감,두께감
사이즈가 너무작네요 안에 레이어드로 입을려규 산거긴한데 안입을듯싶네요  기장이 더 길더라도 사이즈를 더 크게 가야될거같아요,남성, 175cm, 68kg,작아요,밝아요,보통이에요,보통이에요
길이가 생각보다는 조금 길어서 본인 사이즈보다 한 사이즈 작게 하는 게 좋을 것 같아요 레이어드용으로 활용하기 너무 좋아요,남성, 168cm, 66kg,보통이에요,밝아요,보통이에요,보통이에요
레이어드를 처음 입어보긴 했는데 좀 긴 편이에요 위에 더 입으면 좋을지도,남성, 183cm, 76kg,커요,보통이에요,보통이에요,보통이에요
긴 기장으로 구매했는데 정말 기네요ㅎ줄어들어도 걱정없을거같고 왠만한 루즈핏에는 문제없이 레이어드 가능할거같네요 맘에 들어요  ,남성, 180cm, 85kg,보통이에요,보통이에요,보통이에요,얇아요
운동할때 입을려구 구매했는데 기장 감 딱 좋아요163인데 엉덩이 다 덮어요  ,여성, 163cm, 57kg,커요,보통이에요,보통이에요,보통이에요
사이즈도 핏도 컬러도 다 맘에들어요 건조기 막 돌려도 많이 안줄고 돌아가는 현상없어서 무탠다드 너무 좋아요 레이어드핏이라 길이감 길어요,남성, 170cm, 68kg,커요,보통이에요,보통이에요,보통이에요
딱 스탠다드네요맘에 들어요 기장이 길지만 오버핏은 아닌듯합니다,남성, 187cm, 95kg,보통이에요,보통이에요,보통이에요,보통이에요
괜찮은 핏을 제공해주는 기본 반팔티입니다 레이어드 하기 좋아요 ,남성, 181cm, 89kg,커요,밝아요,선명해요,보통이에요
재질이 부드러워서 좋고  안에가 잘 비춰지지 않습니다  어떤 옷이랑 같이 입든 무난하게 입을 수 있는 티,남성, 177cm, 94kg,보통이에요,보통이에요,보통이에요,보통이에요
시원하고 좋아요  두께도 적당해서 사계절 모두 입을 수 있는 옷  어떤 옷이든 콜라보가 잘 될거 같아요,남성, 177cm, 94kg,보통이에요,밝아요,선명해요,보통이에요
사이즈감 딱좋고 덩치가 있는편인데도 잘맞아요 너무 좋습니다 길이 딱좋아요,남성, 181cm, 100kg,커요,보통이에요,선명해요,보통이에요
얇게 안에 레이어드해서 입기 너무 좋네요  재질도 좋고 나쁘지 않아요 ,남성, 179cm, 69kg,보통이에요,어두워요,선명해요,얇아요
평소에 라지 사이즈를 정사이즈로 입는데 미디움도 크네요,여성, 163cm, 53kg,커요,보통이에요,보통이에요,보통이에요
이너로 입기위해 구입했어요 사이즈인데 사이즈는 좀 넉넉하게 나왔어요,NaN,NaN,NaN,커요,보통이에요,보통이에요,보통이에요
기장이 많이 길긴 한데 활용 잘하면 예쁜코디 연출 가능할 것 같아요,NaN,NaN,NaN,커요,보통이에요,보통이에요,보통이에요
엄청 기네요 근데 레이어드해서입을거라 상관없음 굿ㅋ,남성, 178cm, 80kg,커요,보통이에요,보통이에요,보통이에요
길이가 레이어드티라 확실히 상당히 길어요 굳굳,남성, 180cm, 85kg,커요,보통이에요,보통이에요,보통이에요
남자친구가 너무 좋아하는 티셔츠에요 신혼여행에서도 계속 입더라고요,남성, 185cm, 75kg,보통이에요,밝아요,보통이에요,보통이에요
라이브방송 보다가 바로 질렀습니다  남동생과 니꺼내꺼 안따지며 함께 입으려고 샀는데 저같은 난쟁이똥자루는   절대 무리같습니다  ㅎ 어깨선과 품은 괜찮은데 아무래도 길이가     그래도 동생한텐 잘 맞을 것 같아요   ,남성, 181cm, 100kg,커요,밝아요,선명해요,보통이에요
두께가 조금만더있었으면 더좋았을거같습니다,남성, 187cm, 84kg,보통이에요,보통이에요,보통이에요,보통이에요
기장이 길어서 안에 레이어드해서 입기 딱좋은것 같아요안에 레이어드로 입을거면 정사이즈보단 한사이즈 작게 구입하시는걸 추천드려요 ,NaN,NaN,NaN,보통이에요,밝아요,선명해요,보통이에요
밑단이 엉덩이보다 아래로 내려와서여러 모로 실용적 아주 베이직하면서 유니크한 기본 티 ,NaN,NaN,NaN,커요,밝아요,선명해요,두꺼워요
기장이 좀 많이 길어요 ㅎㅎ 무조건 사이즈 낮춰서 주문하세요  ㅎ,NaN,NaN,NaN,커요,보통이에요,보통이에요,보통이에요
레이어드 이쁘고 시원해서 여름에 입기 좋네요 가볍습니다,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
넉넉한 길이감 덕분에 레이어드하기 쉬운 옷입니다,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
역시 레이어드는 무탠다드  이것만 두개 샀어요 너무 좋아요,남성, 173cm, 75kg,보통이에요,보통이에요,보통이에요,보통이에요
생각보다 길이가 길긴 하지만 상품 자체 퀄도 좋고 편해서 레이어드로 입기 좋아요 ,남성, 183cm, 75kg,커요,밝아요,선명해요,보통이에요
평소 옷을 크게 입어서 레이어드 할 티가 적은데 이거는 레이어드가 가능해요  엄청 길어요,남성, 177cm, 74kg,커요,밝아요,선명해요,두꺼워요
좋아요  레이어드에 딱이에요  또 구매하려고해요 ,남성, 188cm, 93kg,커요,보통이에요,보통이에요,보통이에요
무난한데 이거 너무너무 길어서 상의가 어정쩡해짐 개인적으론근데 완전 오버하게 입을땐 좋음,남성, 172cm, 67kg,보통이에요,보통이에요,보통이에요,얇아요
레이어드가 쪼금 길긴한데 전투용으로 입기 딱 좋습니다,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
짱 길어요 그냥 입기는 그렇고 이너용으로는 괜찮은 듯,NaN,NaN,NaN,커요,밝아요,보통이에요,얇아요
좋아요 너무 레이어드로 입기 너무 좋습니다 추천합니다,NaN,NaN,NaN,커요,밝아요,선명해요,두꺼워요
레이어드 용으로 적당하게 잘 나온것 같습니다 잘 활용할거 같아요 ,NaN,NaN,NaN,보통이에요,보통이에요,선명해요,보통이에요
 인데두 사이즈가 좀 크네요그치만 오히러 레이어드하기 좋아요,NaN,NaN,NaN,커요,보통이에요,보통이에요,보통이에요
